;dateConvention_ademe;nomBeneficiaire_ademe;montant_ademe;pourcentageSubvention_ademe;DEPET_ademe;naf1etlib_ademe;naf2etlib_ademe;naf3etlib_ademe;naf4etlib_ademe;naf5etlib_ademe;id_mt;environmentalTopics_mt;fundingTypes_mt;subventionRateUpperBound_mt;subventionRateLowerBound_mt;applicationStartDate_mt;result
20;2021-04-01;O TI MARCHE OBERHASLACH;8002.0;1.0;67;"Commerce ; réparation d'automobiles et de motocycles";Commerce de détail, à l'exception des automobiles et des motocycles;Commerce de détail en magasin non spécialisé;Commerce de détail en magasin non spécialisé à prédominance alimentaire;Commerce d'alimentation générale;44;"[{'name': 'Achat & location véhicules peu polluants', 'id': 23}, {'name': 'Bilan énergétique & Rénovation', 'id': 7}, {'name': 'Energies Renouvelables', 'id': 22}, {'name': 'Tri, recyclage, réemploi & réparation', 'id': 15}, {'name': 'Traitement & valorisation des biodéchets', 'id': 17}, {'name': 'Réduction du gaspillage', 'id': 9}, {'name': 'Réduction des pollutions & dépollution', 'id': 8}, {'name': ""Réduction de l'empreinte carbone"", 'id': 3}, {'name': 'Sensibilisation & Formation', 'id': 37}]";['Autre aide financière'];;;2021-11-09T15:42:49+00:00;1
21;2021-03-26;IMPRIMERIE THORAX;5400.0;1.0;54;Industrie manufacturière;Imprimerie et reproduction d'enregistrements;Imprimerie et services annexes;Autre imprimerie (labeur);Autre imprimerie (labeur);44;"[{'name': 'Achat & location véhicules peu polluants', 'id': 23}, {'name': 'Bilan énergétique & Rénovation', 'id': 7}, {'name': 'Energies Renouvelables', 'id': 22}, {'name': 'Tri, recyclage, réemploi & réparation', 'id': 15}, {'name': 'Traitement & valorisation des biodéchets', 'id': 17}, {'name': 'Réduction du gaspillage', 'id': 9}, {'name': 'Réduction des pollutions & dépollution', 'id': 8}, {'name': ""Réduction de l'empreinte carbone"", 'id': 3}, {'name': 'Sensibilisation & Formation', 'id': 37}]";['Autre aide financière'];;;2021-11-09T15:42:49+00:00;1
22;2021-03-30;BOYSEN FRANCE;11600.0;1.0;68;Industrie manufacturière;Industrie automobile;Fabrication d'équipements automobiles;Fabrication d'autres équipements automobiles;Fabrication d'autres équipements automobiles;44;"[{'name': 'Achat & location véhicules peu polluants', 'id': 23}, {'name': 'Bilan énergétique & Rénovation', 'id': 7}, {'name': 'Energies Renouvelables', 'id': 22}, {'name': 'Tri, recyclage, réemploi & réparation', 'id': 15}, {'name': 'Traitement & valorisation des biodéchets', 'id': 17}, {'name': 'Réduction du gaspillage', 'id': 9}, {'name': 'Réduction des pollutions & dépollution', 'id': 8}, {'name': ""Réduction de l'empreinte carbone"", 'id': 3}, {'name': 'Sensibilisation & Formation', 'id': 37}]";['Autre aide financière'];;;2021-11-09T15:42:49+00:00;1
23;2021-03-30;BUGNOT 52;34665.0;1.0;52;Industrie manufacturière;Fabrication de machines et équipements n.c.a.;Fabrication de machines agricoles et forestières;Fabrication de machines agricoles et forestières;Fabrication de machines agricoles et forestières;44;"[{'name': 'Achat & location véhicules peu polluants', 'id': 23}, {'name': 'Bilan énergétique & Rénovation', 'id': 7}, {'name': 'Energies Renouvelables', 'id': 22}, {'name': 'Tri, recyclage, réemploi & réparation', 'id': 15}, {'name': 'Traitement & valorisation des biodéchets', 'id': 17}, {'name': 'Réduction du gaspillage', 'id': 9}, {'name': 'Réduction des pollutions & dépollution', 'id': 8}, {'name': ""Réduction de l'empreinte carbone"", 'id': 3}, {'name': 'Sensibilisation & Formation', 'id': 37}]";['Autre aide financière'];;;2021-11-09T15:42:49+00:00;1
24;2021-04-08;CHARPENTIERS DU MASSIF;6474.0;1.0;51;Construction;Travaux de construction spécialisés;Autres travaux de construction spécialisés;Travaux de couverture;Travaux de charpente;44;"[{'name': 'Achat & location véhicules peu polluants', 'id': 23}, {'name': 'Bilan énergétique & Rénovation', 'id': 7}, {'name': 'Energies Renouvelables', 'id': 22}, {'name': 'Tri, recyclage, réemploi & réparation', 'id': 15}, {'name': 'Traitement & valorisation des biodéchets', 'id': 17}, {'name': 'Réduction du gaspillage', 'id': 9}, {'name': 'Réduction des pollutions & dépollution', 'id': 8}, {'name': ""Réduction de l'empreinte carbone"", 'id': 3}, {'name': 'Sensibilisation & Formation', 'id': 37}]";['Autre aide financière'];;;2021-11-09T15:42:49+00:00;1
25;2021-04-08;LOC E BIKE-SARL;12000.0;1.0;52;Activités de services administratifs et de soutien;Activités de location et location-bail;Location et location-bail de biens personnels et domestiques;Location et location-bail d'articles de loisirs et de sport;Location et location-bail d'articles de loisirs et de sport;44;"[{'name': 'Achat & location véhicules peu polluants', 'id': 23}, {'name': 'Bilan énergétique & Rénovation', 'id': 7}, {'name': 'Energies Renouvelables', 'id': 22}, {'name': 'Tri, recyclage, réemploi & réparation', 'id': 15}, {'name': 'Traitement & valorisation des biodéchets', 'id': 17}, {'name': 'Réduction du gaspillage', 'id': 9}, {'name': 'Réduction des pollutions & dépollution', 'id': 8}, {'name': ""Réduction de l'empreinte carbone"", 'id': 3}, {'name': 'Sensibilisation & Formation', 'id': 37}]";['Autre aide financière'];;;2021-11-09T15:42:49+00:00;1
26;2021-04-13;AGILEC;16000.0;1.0;51;Construction;Travaux de construction spécialisés;Travaux d'installation électrique, plomberie et autres travaux d'installation;Installation électrique;Travaux d'installation électrique dans tous locaux;44;"[{'name': 'Achat & location véhicules peu polluants', 'id': 23}, {'name': 'Bilan énergétique & Rénovation', 'id': 7}, {'name': 'Energies Renouvelables', 'id': 22}, {'name': 'Tri, recyclage, réemploi & réparation', 'id': 15}, {'name': 'Traitement & valorisation des biodéchets', 'id': 17}, {'name': 'Réduction du gaspillage', 'id': 9}, {'name': 'Réduction des pollutions & dépollution', 'id': 8}, {'name': ""Réduction de l'empreinte carbone"", 'id': 3}, {'name': 'Sensibilisation & Formation', 'id': 37}]";['Autre aide financière'];;;2021-11-09T15:42:49+00:00;1
27;2021-04-19;NEORALI;6000.0;1.0;88;Industrie manufacturière;Fabrication de produits métalliques, à l'exception des machines et des équipements;Fabrication d'autres ouvrages en métaux;Fabrication d'autres produits métalliques n.c.a.;Fabrication d'autres articles métalliques;44;"[{'name': 'Achat & location véhicules peu polluants', 'id': 23}, {'name': 'Bilan énergétique & Rénovation', 'id': 7}, {'name': 'Energies Renouvelables', 'id': 22}, {'name': 'Tri, recyclage, réemploi & réparation', 'id': 15}, {'name': 'Traitement & valorisation des biodéchets', 'id': 17}, {'name': 'Réduction du gaspillage', 'id': 9}, {'name': 'Réduction des pollutions & dépollution', 'id': 8}, {'name': ""Réduction de l'empreinte carbone"", 'id': 3}, {'name': 'Sensibilisation & Formation', 'id': 37}]";['Autre aide financière'];;;2021-11-09T15:42:49+00:00;1
28;2021-03-03;MATISSART NORD;34800.0;1.0;62;Industrie manufacturière;Fabrication de produits métalliques, à l'exception des machines et des équipements;Fabrication de coutellerie, d'outillage et de quincaillerie;Fabrication d'outillage;Fabrication de moules et modèles;44;"[{'name': 'Achat & location véhicules peu polluants', 'id': 23}, {'name': 'Bilan énergétique & Rénovation', 'id': 7}, {'name': 'Energies Renouvelables', 'id': 22}, {'name': 'Tri, recyclage, réemploi & réparation', 'id': 15}, {'name': 'Traitement & valorisation des biodéchets', 'id': 17}, {'name': 'Réduction du gaspillage', 'id': 9}, {'name': 'Réduction des pollutions & dépollution', 'id': 8}, {'name': ""Réduction de l'empreinte carbone"", 'id': 3}, {'name': 'Sensibilisation & Formation', 'id': 37}]";['Autre aide financière'];;;2021-11-09T15:42:49+00:00;1
29;2021-03-31;BIO'M;5000.0;1.0;60;"Commerce ; réparation d'automobiles et de motocycles";Commerce de gros, à l'exception des automobiles et des motocycles;Commerce de gros de biens domestiques;Commerce de gros d'autres biens domestiques;Commerce de gros (commerce interentreprises) d'autres biens domestiques;44;"[{'name': 'Achat & location véhicules peu polluants', 'id': 23}, {'name': 'Bilan énergétique & Rénovation', 'id': 7}, {'name': 'Energies Renouvelables', 'id': 22}, {'name': 'Tri, recyclage, réemploi & réparation', 'id': 15}, {'name': 'Traitement & valorisation des biodéchets', 'id': 17}, {'name': 'Réduction du gaspillage', 'id': 9}, {'name': 'Réduction des pollutions & dépollution', 'id': 8}, {'name': ""Réduction de l'empreinte carbone"", 'id': 3}, {'name': 'Sensibilisation & Formation', 'id': 37}]";['Autre aide financière'];;;2021-11-09T15:42:49+00:00;1
